| SCOPE-5 | Q1
| SCOPE-5 | ANS 36.1 CORRECT
| SCOPE-5 | ANS 36.2 x
| SCOPE-5 | ANS 36.3 x
| SCOPE-5 | ANS 36.4 x
| SCOPE-5 | Q37
| SCOPE-5 | ANS 37.1 CORRECT
| SCOPE-5 | ANS 37.2 x
| SCOPE-5 | ANS 37.3 x
| SCOPE-5 | ANS 37.4 x
| SCOPE-5 | Q38
| SCOPE-5 | ANS 38.1 CORRECT
| SCOPE-5 | ANS 38.2 x
| SCOPE-5 | ANS 38.3 x
| SCOPE-5 | ANS 38.4 x
| SCOPE-5 | Q39
| SCOPE-5 | ANS 39.1 CORRECT
| SCOPE-5 | ANS 39.2 x
| SCOPE-5 | ANS 39.3 x
| SCOPE-5 | ANS 39.4 x
| SCOPE-5 | Q40
| SCOPE-5 | ANS 40.1 CORRECT
| SCOPE-5 | ANS 40.2 x
| SCOPE-5 | ANS 40.3 x
| SCOPE-5 | ANS 40.4 x
| SCOPE-5 | Q41
| SCOPE-5 | ANS 41.1 CORRECT
| SCOPE-5 | ANS 41.2 x
| SCOPE-5 | ANS 41.3 x
| SCOPE-5 | ANS 41.4 x
| SCOPE-5 | Q42
| SCOPE-5 | ANS 42.1 CORRECT
| SCOPE-5 | ANS 42.2 x
| SCOPE-5 | ANS 42.3 x
| SCOPE-5 | ANS 42.4 x
| SCOPE-5 | Q43
| SCOPE-5 | ANS 43.1 CORRECT
| SCOPE-5 | ANS 43.2 x
| SCOPE-5 | ANS 43.3 x
| SCOPE-5 | ANS 43.4 x
| SCOPE-5 | Q44
| SCOPE-5 | ANS 44.1 CORRECT
| SCOPE-5 | ANS 44.2 x
| SCOPE-5 | ANS 44.3 x
| SCOPE-5 | ANS 44.4 x
| SCOPE-5 | Q45
| SCOPE-5 | ANS 45.1 CORRECT
| SCOPE-5 | ANS 45.2 x
| SCOPE-5 | ANS 45.3 x
| SCOPE-5 | ANS 45.4 x
| SCOPE-5 | Q46
| SCOPE-5 | ANS 46.1 CORRECT
| SCOPE-5 | ANS 46.2 x
| SCOPE-5 | ANS 46.3 x
| SCOPE-5 | ANS 46.4 x
| SCOPE-5 | Q47
| SCOPE-5 | ANS 47.1 CORRECT
| SCOPE-5 | ANS 47.2 x
| SCOPE-5 | ANS 47.3 x
| SCOPE-5 | ANS 47.4 x
| SCOPE-5 | Q48
| SCOPE-5 | ANS 48.1 CORRECT
| SCOPE-5 | ANS 48.2 x
| SCOPE-5 | ANS 48.3 x
| SCOPE-5 | ANS 48.4 x
| SCOPE-5 | Q49
| SCOPE-5 | ANS 49.1 CORRECT
| SCOPE-5 | ANS 49.2 x
| SCOPE-5 | ANS 49.3 x
| SCOPE-5 | ANS 49.4 x
| SCOPE-5 | Q50
| SCOPE-5 | ANS 50.1 CORRECT
| SCOPE-5 | ANS 50.2 x
| SCOPE-5 | ANS 50.3 x
| SCOPE-5 | ANS 50.4 x
| SCOPE-5 | Q51
| SCOPE-5 | ANS 51.1 CORRECT
| SCOPE-5 | ANS 51.2 x
| SCOPE-5 | ANS 51.3 x
| SCOPE-5 | ANS 51.4 x
| SCOPE-5 | Q52
| SCOPE-5 | ANS 52.1 CORRECT
| SCOPE-5 | ANS 52.2 x
| SCOPE-5 | ANS 52.3 x
| SCOPE-5 | ANS 52.4 x
| SCOPE-5 | Q53
| SCOPE-5 | ANS 53.1 CORRECT
| SCOPE-5 | ANS 53.2 x
| SCOPE-5 | ANS 53.3 x
| SCOPE-5 | ANS 53.4 x
| SCOPE-5 | Q54
| SCOPE-5 | ANS 54.1 CORRECT
| SCOPE-5 | ANS 54.2 x
| SCOPE-5 | ANS 54.3 x
| SCOPE-5 | ANS 54.4 x
| SCOPE-5 | Q55
| SCOPE-5 | ANS 55.1 CORRECT
| SCOPE-5 | ANS 55.2 x
| SCOPE-5 | ANS 55.3 x
| SCOPE-5 | ANS 55.4 x
| SCOPE-5 | Q56
| SCOPE-5 | ANS 56.1 CORRECT
| SCOPE-5 | ANS 56.2 x
| SCOPE-5 | ANS 56.3 x
| SCOPE-5 | ANS 56.4 x
| SCOPE-5 | Q57
| SCOPE-5 | ANS 57.1 CORRECT
| SCOPE-5 | ANS 57.2 x
| SCOPE-5 | ANS 57.3 x
| SCOPE-5 | ANS 57.4 x
| SCOPE-5 | Q58
| SCOPE-5 | ANS 58.1 CORRECT
| SCOPE-5 | ANS 58.2 x
| SCOPE-5 | ANS 58.3 x
| SCOPE-5 | ANS 58.4 x
| SCOPE-5 | Q59
| SCOPE-5 | ANS 59.1 CORRECT
| SCOPE-5 | ANS 59.2 x
| SCOPE-5 | ANS 59.3 x
| SCOPE-5 | ANS 59.4 x
| SCOPE-5 | Q60
| SCOPE-5 | ANS 60.1 CORRECT
| SCOPE-5 | ANS 60.2 x
| SCOPE-5 | ANS 60.3 x
| SCOPE-5 | ANS 60.4 x
| SCOPE-5 | Q61
| SCOPE-5 | ANS 61.1 CORRECT
| SCOPE-5 | ANS 61.2 x
| SCOPE-5 | ANS 61.3 x
| SCOPE-5 | ANS 61.4 x
| SCOPE-5 | Q62
| SCOPE-5 | ANS 62.1 CORRECT
| SCOPE-5 | ANS 62.2 x
| SCOPE-5 | ANS 62.3 x
| SCOPE-5 | ANS 62.4 x
| SCOPE-5 | Q63
| SCOPE-5 | ANS 63.1 CORRECT
| SCOPE-5 | ANS 63.2 x
| SCOPE-5 | ANS 63.3 x
| SCOPE-5 | ANS 63.4 x
| SCOPE-5 | Q64
| SCOPE-5 | ANS 64.1 CORRECT
| SCOPE-5 | ANS 64.2 x
| SCOPE-5 | ANS 64.3 x
| SCOPE-5 | ANS 64.4 x
| SCOPE-5 | Q65
| SCOPE-5 | ANS 65.1 CORRECT
| SCOPE-5 | ANS 65.2 x
| SCOPE-5 | ANS 65.3 x
| SCOPE-5 | ANS 65.4 x
| SCOPE-5 | Q66
| SCOPE-5 | ANS 66.1 CORRECT
| SCOPE-5 | ANS 66.2 x
| SCOPE-5 | ANS 66.3 x
| SCOPE-5 | ANS 66.4 x
| SCOPE-5 | Q67
| SCOPE-5 | ANS 67.1 CORRECT
| SCOPE-5 | ANS 67.2 x
| SCOPE-5 | ANS 67.3 x
| SCOPE-5 | ANS 67.4 x
| SCOPE-5 | Q68
| SCOPE-5 | ANS 68.1 CORRECT
| SCOPE-5 | ANS 68.2 x
| SCOPE-5 | ANS 68.3 x
| SCOPE-5 | ANS 68.4 x
| SCOPE-5 | Q69
| SCOPE-5 | ANS 69.1 CORRECT
| SCOPE-5 | ANS 69.2 x
| SCOPE-5 | ANS 69.3 x
| SCOPE-5 | ANS 69.4 x
| SCOPE-5 | Q70
| SCOPE-5 | ANS 70.1 CORRECT
| SCOPE-5 | ANS 70.2 x
| SCOPE-5 | ANS 70.3 x
| SCOPE-5 | ANS 70.4 x
| SCOPE-5 | Q71
| SCOPE-5 | ANS 71.1 CORRECT
| SCOPE-5 | ANS 71.2 x
| SCOPE-5 | ANS 71.3 x
| SCOPE-5 | ANS 71.4 x
| SCOPE-5 | Q72
| SCOPE-5 | ANS 72.1 CORRECT
| SCOPE-5 | ANS 72.2 x
| SCOPE-5 | ANS 72.3 x
| SCOPE-5 | ANS 72.4 x
| SCOPE-5 | Q73
| SCOPE-5 | ANS 73.1 CORRECT
| SCOPE-5 | ANS 73.2 x
| SCOPE-5 | ANS 73.3 x
| SCOPE-5 | ANS 73.4 x
| SCOPE-5 | Q74
| SCOPE-5 | ANS 74.1 CORRECT
| SCOPE-5 | ANS 74.2 x
| SCOPE-5 | ANS 74.3 x
| SCOPE-5 | ANS 74.4 x
| SCOPE-5 | Q75
| SCOPE-5 | ANS 75.1 CORRECT
| SCOPE-5 | ANS 75.2 x
| SCOPE-5 | ANS 75.3 x
| SCOPE-5 | ANS 75.4 x
| SCOPE-5 | Q76
| SCOPE-5 | ANS 76.1 CORRECT
| SCOPE-5 | ANS 76.2 x
| SCOPE-5 | ANS 76.3 x
| SCOPE-5 | ANS 76.4 x
| SCOPE-5 | Q77
| SCOPE-5 | ANS 77.1 CORRECT
| SCOPE-5 | ANS 77.2 x
| SCOPE-5 | ANS 77.3 x
| SCOPE-5 | ANS 77.4 x
| SCOPE-5 | Q78
| SCOPE-5 | ANS 78.1 CORRECT
| SCOPE-5 | ANS 78.2 x
| SCOPE-5 | ANS 78.3 x
| SCOPE-5 | ANS 78.4 x
| SCOPE-5 | Q79
| SCOPE-5 | ANS 79.1 CORRECT
| SCOPE-5 | ANS 79.2 x
| SCOPE-5 | ANS 79.3 x
| SCOPE-5 | ANS 79.4 x
| SCOPE-5 | Q80
| SCOPE-5 | ANS 80.1 CORRECT
| SCOPE-5 | ANS 80.2 x
| SCOPE-5 | ANS 80.3 x
| SCOPE-5 | ANS 80.4 x
| SCOPE-5 | Q81
| SCOPE-5 | ANS 81.1 CORRECT
| SCOPE-5 | ANS 81.2 x
| SCOPE-5 | ANS 81.3 x
| SCOPE-5 | ANS 81.4 x
| SCOPE-5 | Q82
| SCOPE-5 | ANS 82.1 CORRECT
| SCOPE-5 | ANS 82.2 x
| SCOPE-5 | ANS 82.3 x
| SCOPE-5 | ANS 82.4 x
| SCOPE-5 | Q83
| SCOPE-5 | ANS 83.1 CORRECT
| SCOPE-5 | ANS 83.2 x
| SCOPE-5 | ANS 83.3 x
| SCOPE-5 | ANS 83.4 x
| SCOPE-5 | Q84
| SCOPE-5 | ANS 84.1 CORRECT
| SCOPE-5 | ANS 84.2 x
| SCOPE-5 | ANS 84.3 x
| SCOPE-5 | ANS 84.4 x
| SCOPE-5 | Q85
| SCOPE-5 | ANS 85.1 CORRECT
| SCOPE-5 | ANS 85.2 x
| SCOPE-5 | ANS 85.3 x
| SCOPE-5 | ANS 85.4 x
| SCOPE-5 | Q86
| SCOPE-5 | ANS 86.1 CORRECT
| SCOPE-5 | ANS 86.2 x
| SCOPE-5 | ANS 86.3 x
| SCOPE-5 | ANS 86.4 x
| SCOPE-5 | Q87
| SCOPE-5 | ANS 87.1 CORRECT
| SCOPE-5 | ANS 87.2 x
| SCOPE-5 | ANS 87.3 x
| SCOPE-5 | ANS 87.4 x
| SCOPE-5 | Q88
| SCOPE-5 | ANS 88.1 CORRECT
| SCOPE-5 | ANS 88.2 x
| SCOPE-5 | ANS 88.3 x
| SCOPE-5 | ANS 88.4 x
| SCOPE-5 | Q89
| SCOPE-5 | ANS 89.1 CORRECT
| SCOPE-5 | ANS 89.2 x
| SCOPE-5 | ANS 89.3 x
| SCOPE-5 | ANS 89.4 x
| SCOPE-5 | Q90
| SCOPE-5 | ANS 90.1 CORRECT
| SCOPE-5 | ANS 90.2 x
| SCOPE-5 | ANS 90.3 x
| SCOPE-5 | ANS 90.4 x
| SCOPE-5 | Q91
| SCOPE-5 | ANS 91.1 CORRECT
| SCOPE-5 | ANS 91.2 x
| SCOPE-5 | ANS 91.3 x
| SCOPE-5 | ANS 91.4 x
| SCOPE-5 | Q92
| SCOPE-5 | ANS 92.1 CORRECT
| SCOPE-5 | ANS 92.2 x
| SCOPE-5 | ANS 92.3 x
| SCOPE-5 | ANS 92.4 x
| SCOPE-5 | Q93
| SCOPE-5 | ANS 93.1 CORRECT
| SCOPE-5 | ANS 93.2 x
| SCOPE-5 | ANS 93.3 x
| SCOPE-5 | ANS 93.4 x
| SCOPE-5 | Q94
| SCOPE-5 | ANS 94.1 CORRECT
| SCOPE-5 | ANS 94.2 x
| SCOPE-5 | ANS 94.3 x
| SCOPE-5 | ANS 94.4 x
| SCOPE-5 | Q95
| SCOPE-5 | ANS 95.1 CORRECT
| SCOPE-5 | ANS 95.2 x
| SCOPE-5 | ANS 95.3 x
| SCOPE-5 | ANS 95.4 x
| SCOPE-5 | Q96
| SCOPE-5 | ANS 96.1 CORRECT
| SCOPE-5 | ANS 96.2 x
| SCOPE-5 | ANS 96.3 x
| SCOPE-5 | ANS 96.4 x
| SCOPE-5 | Q97
| SCOPE-5 | ANS 97.1 CORRECT
| SCOPE-5 | ANS 97.2 x
| SCOPE-5 | ANS 97.3 x
| SCOPE-5 | ANS 97.4 x
| SCOPE-5 | Q98
| SCOPE-5 | ANS 98.1 CORRECT
| SCOPE-5 | ANS 98.2 x
| SCOPE-5 | ANS 98.3 x
| SCOPE-5 | ANS 98.4 x
| SCOPE-5 | Q99
| SCOPE-5 | ANS 99.1 CORRECT
| SCOPE-5 | ANS 99.2 x
| SCOPE-5 | ANS 99.3 x
| SCOPE-5 | ANS 99.4 x
| SCOPE-5 | Q100
| SCOPE-5 | ANS 100.1 CORRECT
| SCOPE-5 | ANS 100.2 x
| SCOPE-5 | ANS 100.3 x
| SCOPE-5 | ANS 100.4 x
| SCOPE-5 | Q101
| SCOPE-5 | ANS 101.1 CORRECT
| SCOPE-5 | ANS 101.2 x
| SCOPE-5 | ANS 101.3 x
| SCOPE-5 | ANS 101.4 x
| SCOPE-5 | Q102
| SCOPE-5 | ANS 102.1 CORRECT
| SCOPE-5 | ANS 102.2 x
| SCOPE-5 | ANS 102.3 x
| SCOPE-5 | ANS 102.4 x
| SCOPE-5 | Q103
| SCOPE-5 | ANS 103.1 CORRECT
| SCOPE-5 | ANS 103.2 x
| SCOPE-5 | ANS 103.3 x
| SCOPE-5 | ANS 103.4 x
| SCOPE-5 | Q104
| SCOPE-5 | ANS 104.1 CORRECT
| SCOPE-5 | ANS 104.2 x
| SCOPE-5 | ANS 104.3 x
| SCOPE-5 | ANS 104.4 x
| SCOPE-5 | Q105
| SCOPE-5 | ANS 105.1 CORRECT
| SCOPE-5 | ANS 105.2 x
| SCOPE-5 | ANS 105.3 x
| SCOPE-5 | ANS 105.4 x
| SCOPE-5 | Q106
| SCOPE-5 | ANS 106.1 CORRECT
| SCOPE-5 | ANS 106.2 x
| SCOPE-5 | ANS 106.3 x
| SCOPE-5 | ANS 106.4 x
| SCOPE-5 | Q107
| SCOPE-5 | ANS 107.1 CORRECT
| SCOPE-5 | ANS 107.2 x
| SCOPE-5 | ANS 107.3 x
| SCOPE-5 | ANS 107.4 x
| SCOPE-5 | Q108
| SCOPE-5 | ANS 108.1 CORRECT
| SCOPE-5 | ANS 108.2 x
| SCOPE-5 | ANS 108.3 x
| SCOPE-5 | ANS 108.4 x
| SCOPE-5 | Q109
| SCOPE-5 | ANS 109.1 CORRECT
| SCOPE-5 | ANS 109.2 x
| SCOPE-5 | ANS 109.3 x
| SCOPE-5 | ANS 109.4 x
| SCOPE-5 | Q110
| SCOPE-5 | ANS 110.1 CORRECT
| SCOPE-5 | ANS 110.2 x
| SCOPE-5 | ANS 110.3 x
| SCOPE-5 | ANS 110.4 x
| SCOPE-5 | Q111
| SCOPE-5 | ANS 111.1 CORRECT
| SCOPE-5 | ANS 111.2 x
| SCOPE-5 | ANS 111.3 x
| SCOPE-5 | ANS 111.4 x
| SCOPE-5 | Q112
| SCOPE-5 | ANS 112.1 CORRECT
| SCOPE-5 | ANS 112.2 x
| SCOPE-5 | ANS 112.3 x
| SCOPE-5 | ANS 112.4 x
| SCOPE-5 | Q113
| SCOPE-5 | ANS 113.1 CORRECT
| SCOPE-5 | ANS 113.2 x
| SCOPE-5 | ANS 113.3 x
| SCOPE-5 | ANS 113.4 x
| SCOPE-5 | Q114
| SCOPE-5 | ANS 114.1 CORRECT
| SCOPE-5 | ANS 114.2 x
| SCOPE-5 | ANS 114.3 x
| SCOPE-5 | ANS 114.4 x
| SCOPE-5 | Q115
| SCOPE-5 | ANS 115.1 CORRECT
| SCOPE-5 | ANS 115.2 x
| SCOPE-5 | ANS 115.3 x
| SCOPE-5 | ANS 115.4 x
| SCOPE-5 | Q116
| SCOPE-5 | ANS 116.1 CORRECT
| SCOPE-5 | ANS 116.2 x
| SCOPE-5 | ANS 116.3 x
| SCOPE-5 | ANS 116.4 x
| SCOPE-5 | Q117
| SCOPE-5 | ANS 117.1 CORRECT
| SCOPE-5 | ANS 117.2 x
| SCOPE-5 | ANS 117.3 x
| SCOPE-5 | ANS 117.4 x
| SCOPE-5 | Q118
| SCOPE-5 | ANS 118.1 CORRECT
| SCOPE-5 | ANS 118.2 x
| SCOPE-5 | ANS 118.3 x
| SCOPE-5 | ANS 118.4 x
| SCOPE-5 | Q119
| SCOPE-5 | ANS 119.1 CORRECT
| SCOPE-5 | ANS 119.2 x
| SCOPE-5 | ANS 119.3 x
| SCOPE-5 | ANS 119.4 x
| SCOPE-5 | Q120
| SCOPE-5 | ANS 120.1 CORRECT
| SCOPE-5 | ANS 120.2 x
| SCOPE-5 | ANS 120.3 x
| SCOPE-5 | ANS 120.4 x
| SCOPE-5 | Q121
| SCOPE-5 | ANS 121.1 CORRECT
| SCOPE-5 | ANS 121.2 x
| SCOPE-5 | ANS 121.3 x
| SCOPE-5 | ANS 121.4 x
| SCOPE-5 | Q122
| SCOPE-5 | ANS 122.1 CORRECT
| SCOPE-5 | ANS 122.2 x
| SCOPE-5 | ANS 122.3 x
| SCOPE-5 | ANS 122.4 x
| SCOPE-5 | Q123
| SCOPE-5 | ANS 123.1 CORRECT
| SCOPE-5 | ANS 123.2 x
| SCOPE-5 | ANS 123.3 x
| SCOPE-5 | ANS 123.4 x
| SCOPE-5 | Q124
| SCOPE-5 | ANS 124.1 CORRECT
| SCOPE-5 | ANS 124.2 x
| SCOPE-5 | ANS 124.3 x
| SCOPE-5 | ANS 124.4 x
| SCOPE-5 | Q125
| SCOPE-5 | ANS 125.1 CORRECT
| SCOPE-5 | ANS 125.2 x
| SCOPE-5 | ANS 125.3 x
| SCOPE-5 | ANS 125.4 x
| SCOPE-5 | Q126
| SCOPE-5 | ANS 126.1 CORRECT
| SCOPE-5 | ANS 126.2 x
| SCOPE-5 | ANS 126.3 x
| SCOPE-5 | ANS 126.4 x
| SCOPE-5 | Q127
| SCOPE-5 | ANS 127.1 CORRECT
| SCOPE-5 | ANS 127.2 x
| SCOPE-5 | ANS 127.3 x
| SCOPE-5 | ANS 127.4 x
| SCOPE-5 | Q128
| SCOPE-5 | ANS 128.1 CORRECT
| SCOPE-5 | ANS 128.2 x
| SCOPE-5 | ANS 128.3 x
| SCOPE-5 | ANS 128.4 x
| SCOPE-5 | Q129
| SCOPE-5 | ANS 129.1 CORRECT
| SCOPE-5 | ANS 129.2 x
| SCOPE-5 | ANS 129.3 x
| SCOPE-5 | ANS 129.4 x
| SCOPE-5 | Q130
| SCOPE-5 | ANS 130.1 CORRECT
| SCOPE-5 | ANS 130.2 x
| SCOPE-5 | ANS 130.3 x
| SCOPE-5 | ANS 130.4 x
| SCOPE-5 | Q131
| SCOPE-5 | ANS 131.1 CORRECT
| SCOPE-5 | ANS 131.2 x
| SCOPE-5 | ANS 131.3 x
| SCOPE-5 | ANS 131.4 x
| SCOPE-5 | Q132
| SCOPE-5 | ANS 132.1 CORRECT
| SCOPE-5 | ANS 132.2 x
| SCOPE-5 | ANS 132.3 x
| SCOPE-5 | ANS 132.4 x
| SCOPE-5 | Q133
| SCOPE-5 | ANS 133.1 CORRECT
| SCOPE-5 | ANS 133.2 x
| SCOPE-5 | ANS 133.3 x
| SCOPE-5 | ANS 133.4 x
| SCOPE-5 | Q134
| SCOPE-5 | ANS 134.1 CORRECT
| SCOPE-5 | ANS 134.2 x
| SCOPE-5 | ANS 134.3 x
| SCOPE-5 | ANS 134.4 x
| SCOPE-5 | Q135
| SCOPE-5 | ANS 135.1 CORRECT
| SCOPE-5 | ANS 135.2 x
| SCOPE-5 | ANS 135.3 x
| SCOPE-5 | ANS 135.4 x
| SCOPE-5 | Q136
| SCOPE-5 | ANS 136.1 CORRECT
| SCOPE-5 | ANS 136.2 x
| SCOPE-5 | ANS 136.3 x
| SCOPE-5 | ANS 136.4 x
| SCOPE-5 | Q137
| SCOPE-5 | ANS 137.1 CORRECT
| SCOPE-5 | ANS 137.2 x
| SCOPE-5 | ANS 137.3 x
| SCOPE-5 | ANS 137.4 x
| SCOPE-5 | Q138
| SCOPE-5 | ANS 138.1 CORRECT
| SCOPE-5 | ANS 138.2 x
| SCOPE-5 | ANS 138.3 x
| SCOPE-5 | ANS 138.4 x
| SCOPE-5 | Q139
| SCOPE-5 | ANS 139.1 CORRECT
| SCOPE-5 | ANS 139.2 x
| SCOPE-5 | ANS 139.3 x
| SCOPE-5 | ANS 139.4 x
| SCOPE-5 | Q140
| SCOPE-5 | ANS 140.1 CORRECT
| SCOPE-5 | ANS 140.2 x
| SCOPE-5 | ANS 140.3 x
| SCOPE-5 | ANS 140.4 x
| SCOPE-5 | Q141
| SCOPE-5 | ANS 141.1 CORRECT
| SCOPE-5 | ANS 141.2 x
| SCOPE-5 | ANS 141.3 x
| SCOPE-5 | ANS 141.4 x
| SCOPE-5 | Q142
| SCOPE-5 | ANS 142.1 CORRECT
| SCOPE-5 | ANS 142.2 x
| SCOPE-5 | ANS 142.3 x
| SCOPE-5 | ANS 142.4 x
| SCOPE-5 | Q143
| SCOPE-5 | ANS 143.1 CORRECT
| SCOPE-5 | ANS 143.2 x
